Date,Open,High,Low,Close,Adj Close,Volume,SMA,MACD,RSI,ADX,R%,ADI,AI,CCI
1993-01-29,43.96875,43.96875,43.75,43.9375,25.438091278076172,1003200,,,,0.0,,716571.4285714286,,
1993-02-01,43.96875,44.25,43.96875,44.25,25.6190185546875,480500,,,,0.0,,1197071.4285714286,,
1993-02-02,44.21875,44.375,44.125,44.34375,25.673307418823242,201300,,,,0.0,,1348046.4285714286,,
1993-02-03,44.40625,44.84375,44.375,44.8125,25.94468879699707,529400,,,,0.0,,1806859.7619047621,,
1993-02-04,44.96875,45.09375,44.46875,45.0,26.053239822387695,531500,,,,0.0,,2178909.761904762,,
1993-02-05,44.96875,45.0625,44.71875,44.96875,26.035137176513672,492100,,,,0.0,,2402591.5800865805,,
1993-02-08,44.96875,45.125,44.90625,44.96875,26.035137176513672,596100,,,,0.0,,2147120.151515152,,
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.854230880737305,122100,,,,0.0,,2116595.151515152,,
1993-02-10,44.65625,44.75,44.53125,44.71875,25.89041519165039,379600,,,,0.0,,2387738.008658009,,
1993-02-11,44.78125,45.125,44.78125,44.9375,26.01705551147461,19500,,,,0.0,,2385965.281385282,,
1993-02-12,44.875,44.875,44.59375,44.59375,25.81804656982422,42500,,,,0.0,,2343465.281385282,,
1993-02-16,44.46875,44.46875,43.40625,43.46875,25.166719436645508,374800,,,,0.0,,2012759.3990323409,,
1993-02-17,43.46875,43.53125,43.28125,43.4375,25.148609161376953,210900,,,,0.0,,2065484.3990323409,,
1993-02-18,43.9375,43.9375,42.8125,43.40625,25.130525588989258,378100,44.392857142857146,,31.343144576831676,0.0,-74.32432432432432,2086489.9545878964,-64.28571428571428,-137.47247908410466
1993-02-19,43.40625,43.5625,43.34375,43.5625,25.220979690551758,34900,44.36607142857143,,36.18360542753732,0.0,-67.56756756756756,2121389.9545878964,-64.28571428571429,-111.70724996560678
1993-02-22,43.6875,43.78125,43.5625,43.71875,25.311439514160156,513600,44.328125,,40.68697472799733,0.0,-60.810810810810814,2341504.2403021823,-64.28571428571428,-76.10449481367698
1993-02-23,43.84375,43.875,43.46875,43.6875,25.29336929321289,373700,44.28125,,40.077824906541125,0.0,-62.16216216216216,2370250.3941483363,-64.28571428571428,-66.25514403292219
1993-02-24,43.71875,44.25,43.71875,44.25,25.6190185546875,26300,44.24107142857143,,53.55658772251255,0.0,-37.83783783783784,2396550.3941483363,-64.28571428571429,-18.120522545301625
1993-02-25,44.21875,44.375,44.125,44.34375,25.673307418823242,44500,44.19419642857143,,55.35890295662305,0.0,-33.78378378378378,2429925.3941483363,-57.14285714285715,10.86956521739143
1993-02-26,44.4375,44.4375,44.1875,44.40625,25.709487915039062,66200,44.154017857142854,,56.568944935237226,0.0,-31.08108108108108,2479575.3941483363,-50.0,25.354870288791304
1993-03-01,44.5625,44.5625,44.21875,44.28125,25.637115478515625,66500,44.104910714285715,,53.44850505329342,0.0,-36.486486486486484,2437257.2123301546,-28.571428571428573,36.079698438340934
1993-03-02,44.3125,44.9375,44.25,44.9375,26.01705551147461,182400,44.125,,64.51531947651947,0.0,-8.108108108108109,2619657.2123301546,-28.57142857142857,86.60235798499545
1993-03-03,45.0,45.15625,44.9375,45.125,26.125612258911133,280100,44.154017857142854,,66.93404560676878,0.0,-1.3333333333333333,2819728.6409015832,64.28571428571428,126.97932425617711
1993-03-04,45.1875,45.1875,44.875,44.875,25.980871200561523,89500,44.14955357142857,,60.966941369014066,0.0,-13.157894736842104,2730228.6409015832,64.28571428571429,113.4538152610443
1993-03-05,44.9375,45.125,44.71875,44.75,25.908483505249023,40000,44.160714285714285,,58.174378316116055,0.0,-18.42105263157895,2696382.4870554293,64.28571428571428,93.88154674498256
1993-03-08,44.84375,45.75,44.84375,45.75,26.487455368041992,50800,44.323660714285715,0.25254680730085965,70.00938724102093,0.0,-0.0,2747182.4870554293,85.71428571428572,141.24920331421274
1993-03-09,45.65625,45.6875,45.5,45.59375,26.39701271057129,169300,44.47767857142857,0.3051596723539447,66.82749074277766,0.0,-5.319148936170213,2747182.4870554293,85.71428571428572,132.53738543174126
1993-03-10,45.59375,45.6875,45.40625,45.6875,26.451274871826172,194400,44.640625,0.35038160739720325,67.77388830712168,15.87784667831941,-2.5974025974025974,2941582.4870554293,78.57142857142857,112.8844555278476
1993-03-11,45.71875,45.84375,45.5,45.5625,26.378910064697266,70900,44.783482142857146,0.3718474356231454,65.106754780702,16.860584660092947,-11.842105263157896,2896464.3052372476,64.28571428571428,104.04823428079189
1993-03-12,45.1875,45.21875,44.8125,45.09375,26.107515335083008,643600,44.88169642857143,0.34703465220331964,56.17846680684889,15.969532970942959,-31.57894736842105,3144002.766775709,64.28571428571429,27.29044834307925
1993-03-15,45.0625,45.3125,45.0625,45.3125,26.234148025512695,310800,44.997767857142854,0.34108976887208087,59.003845869501745,15.332047451425808,-25.0,3454802.766775709,57.14285714285715,43.74286180453517
1993-03-16,45.3125,45.4375,45.3125,45.3125,26.234148025512695,30800,45.073660714285715,0.3325450338533429,59.00384586950174,14.995038397602523,-30.90909090909091,3424002.766775709,35.71428571428571,55.38916620447377
1993-03-17,45.25,45.25,44.96875,45.03125,26.071340560913086,21800,45.122767857142854,0.2996248564585642,53.82876211349808,13.972543032306076,-49.056603773584904,3411891.655664598,35.714285714285715,-1.9658673579609578
1993-03-18,45.21875,45.5,45.21875,45.3125,26.234148025512695,59300,45.1875,0.29285406383919366,57.81346213359087,13.45843239803619,-32.69230769230769,3392124.9889979316,35.71428571428571,40.88210347752301
1993-03-19,45.28125,45.28125,45.03125,45.03125,26.194459915161133,66900,45.24107142857143,0.26177604610220584,52.89713319577148,12.550646043582061,-50.98039215686274,3325224.9889979316,7.142857142857146,-29.166666666666107
1993-03-22,44.59375,44.875,44.5625,44.78125,26.049039840698242,183400,45.229910714285715,0.21450094905924288,48.91525104261737,12.549803375742743,-82.92682926829268,3398584.9889979316,7.142857142857142,-136.06729758149385
1993-03-23,44.90625,44.9375,44.8125,44.875,26.103586196899414,55200,45.21205357142857,0.18249623258331127,50.42240518575937,12.399612244330262,-75.60975609756098,3398584.9889979316,7.142857142857142,-88.49206349206268
1993-03-24,44.8125,45.0625,44.59375,44.875,26.103586196899414,37200,45.21205357142857,0.15534158312115665,50.42240518575937,12.67894112831,-75.60975609756098,3406024.9889979316,7.142857142857142,-90.73543457497507
1993-03-25,44.90625,45.25,44.84375,45.15625,26.267169952392578,110100,45.24107142857143,0.15473219584316666,55.03775879837401,12.46484971121876,-53.65853658536585,3465309.604382547,-71.42857142857143,-35.36585365853454
1993-03-26,45.125,45.15625,44.875,44.90625,26.121746063232422,101500,45.18080357142857,0.13254840585792493,50.53437856371339,12.266050538205464,-73.17073170731707,3386365.1599381026,-57.142857142857146,-55.79259259259304
